n_groups,relay_url,relay_pubkey,all_urls_seen
8,,96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe,
8,,f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,
8,,5fc31523db0cb6cc86f8542b64ea788aa7bc4c3cb1787c4ef0bde76f88c61ded,
8,,73c6bb92440a9344279f7a36aa3de1710c9198b1e9e8a394cd13e0dd5c994c63,
8,,c46aa64c6339496ce80f69f62af1325e8e04a0b86bdb1de3c93645214a72467e,
7,wss://object-pascal.spaces.flotilla.social,f553007ac86484907bb64b3091269018edacc58933ac7a1bad00dfeb42ff2ae6,wss://object-pascal.spaces.flotilla.social
7,,13bf883e518ee90d31366417cda40e9ec0d953b3f2fcabef5cc90a3e474a94f6,
6,wss://relay.zapclub.io,b095f4347bab926917ccd36f371d1741e71d99079bb30562c2227dda29e0b8b1,wss://relay.zapclub.io
6,,2cea8e744c7d8b4ec8de5753c5cebadfeae7a0abbaa2499980d3740182d6444d,
6,,b8a9e7be139c26dfe45de9df2b48cb64945ad5bc74bda536c61a725209aefca7,
5,wss://budabit.nostr1.com,d04ecf33a303a59852fdb681ed8b412201ba85d8d2199aec73cb62681d62aa90,wss://budabit.nostr1.com
5,wss://bunk-test.feeds.relay.tools,26adf181258c29e81c43735e9dd79093d685073328485c5550a0686418981e97,wss://bunk-test.feeds.relay.tools
5,wss://inner.sebastix.social,a7eb8943842cee038373799fd9b9062d07b7a63650cf87371bbbaa8b8458d69b,wss://inner.sebastix.social
5,wss://mihhdu.org/nostr,bd658a7813f09b127296c4c8277c9b90891e004a9b13370ec2e79d285c066ef5,wss://mihhdu.org/nostr
5,,52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41,
5,,2798982ffb0ccd0441e3eb2bb523cffb715ef132141e36de4c5bc5283526e55c,
5,,34263017d8d671ee904fc5e1e2e28c8358fb0a689b97a039b1c384e3b68c58e6,
5,,dfeeef3e4f656b6a2f8eabe7a15b4231705983533ece667f8d2f1d481aad861a,
5,,0c58bf3ac918dac03147d901a7beeb672ce158b47449a21a7a00911120bba2bf,
5,,e9a905e31d6c3c0972222bd53cf271f291794d6842dd92e71530e6a400e81f08,
5,,6478618363d1c5af45b630957849366cfd854a8f876b162a6c8783447fe22f58,
4,wss://frens.nostr1.com,7fa56f5d6962ab1e3cd424e758c3002b8665f7b0d8dcee9fe9e288d7751ac194,wss://frens.nostr1.com wss://frens.nostr1.com/cipher-mike-mike wss://frens.nostr1.com/ember wss://frens.nostr1.com/flint-juliet-dynamo wss://frens.nostr1.com/glyph-umbra-papa wss://frens.nostr1.com/golf-kilo wss://frens.nostr1.com/india wss://frens.nostr1.com/ivory-raven wss://frens.nostr1.com/jade wss://frens.nostr1.com/marble-ivory wss://frens.nostr1.com/onyx-bravo wss://frens.nostr1.com/quebec-jade-hotel wss://frens.nostr1.com/romeo-lantern wss://frens.nostr1.com/sable wss://frens.nostr1.com/tango-yankee-cipher wss://frens.nostr1.com/titan wss://frens.nostr1.com/umbra-foxtrot wss://frens.nostr1.com/vertex wss://frens.nostr1.com/whiskey-india wss://frens.nostr1.com/xenon-victor-november wss://frens.nostr1.com/yankee wss://frens.nostr1.com/yankee-papa wss://frens.nostr1.com/yonder-onyx wss://frens.nostr1.com/zulu-prism-delta
4,,52b38b2e7e93de6f44ce8cf7e3f8367e9b0f8008cef8ee70e6f9fdbf8d917a4e,
4,,2c0b7cf95324a07d05398b240174dc0c2be444d96b159aa6c7f7b1e668680991,
4,,9590e4369b18ecaf34137d4c44e6ab446b891cf0d9a1c278c70040ff358c7a86,
4,,94ffe478e9aa513ad3ef36b9e6e33de800f8e1fa1dddcdc2c652fbfdb19bf098,
3,wss://buzz.chrisdoc.dev,8e5c67514b6d21cdc311a5e4124af84ef2cd254d1d50ecb2b71859e4c731f0c4,wss://buzz.chrisdoc.dev
3,wss://relay.spacetomatoes.net,e6ce2bf6783d201ad350224f9725f1a6d92a9c22c4266823ec658771d6ce350e,wss://relay.spacetomatoes.net
3,wss://squalk-pyramid.dtonon.com,3ba36fb231e384e3e957c900d5f93222496fe5cf6fef06291e55dc849a8cf0b7,wss://squalk-pyramid.dtonon.com
3,,e18f845ec7a347b05858c8d63b938ddd2503d5c2957a3137b1f337be651ce1ff,
3,,384bf4148732137298e1c1ec11b4f6441b6e73fb055cc6e71fa71bbe68506737,
3,,51bdabe50ea39d1fe04ffbe1fd71cc78ebdc51a5a53f4cd908ba6b7a590733ab,
3,,d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7,
3,,8310696a3ae8982cd05daf0c528c8d399b638ffaa1408afeb3b6165028f65de8,
3,,03acb388e39eaacc73c17f9ee65673782defef55647de3e450fcbe0ea0a006e7,
3,,556d290d5dac7a9b038eb3406e982cc103c32629a7eabe4d72463fe32ae4ad28,
3,,5afc2aa51ece9feaa12c70d21bd9336f70df03c92c52f0f14da90fced3df0481,
3,,16e2c2ea63147202db87e083764dad5d6d5791a148be0ec436c37d7e1e8b693f,
3,,cb295abd2c37fef7a91c0960b19aa9894004183b0cf046da68a0ca7d2eb164c5,
3,,d980d4c8b0c3e80dc7824a1327cad4ab9bb21b6f6093a4751f3533e547ae48e1,
3,,621b61c977f479ed1bfffa5cce5363d98a8bf07c6ed5b459a9bb36238e9d2061,
3,,79f2aa7fe17270f43482c0ef53b34fd9d5643786681b1b5147d1cd2afff1c8c2,
