h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
npub1xcfdkegfp8g943l9948l30zm3ean2ystvy08ukxgnxxwvhy4uh7snn0gxn:testYummy,test yummy,npub-namespaced,3,key:3612db65 key:4949b17d key:dd24948d
94dfa2316b20d0ed,,random hex-16,2,wss://groups.satsdisco.com wss://nip29.f7z.io
general,general,human-readable slug,2,wss://groups.satsdisco.com wss://mihhdu.org/nostr
nostrord,Nostrord,human-readable slug,2,wss://chat.wisp.talk wss://groups.0xchat.com
04cc3b4b5e95be19a574b19a1d04745ea02af0cfab93cba5fd08f594ceff8e05,💃🏻影视🫦直播源,random hex-64,2,wss://groups.0xchat.com wss://strfry.ymir.cloud
368714f675c49406,,random hex-16,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com
3e83ccbed52786c13c0e24188f7b7a4c6ade25a66c9234e21010edd73224f6f5,Livros em PDF,random hex-64,2,wss://groups.0xchat.com wss://strfry.ymir.cloud
884ab129-7b59-47,EnTrappt's Highlighter,human-readable slug,2,wss://groups.0xchat.com wss://relay29.notoshi.win
acleprush,zap.stream,random letters,2,wss://relay.zap.stream wss://strfry.ymir.cloud
bf422b9ed3b380fa,,random hex-16,2,wss://groups.0xchat.com wss://groups.yugoatobe.com
bfe4b11b98602f25,,random hex-16,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com
d85c2e528de55b24,,random hex-16,2,wss://groups.0xchat.com wss://groups.satsdisco.com
e06899f0e9e220b5,,random hex-16,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com
e090f912cd46140b,,random hex-16,2,wss://groups.0xchat.com wss://groups.satsdisco.com
eagarghstayshou,Get We3!Rd,human-readable slug,2,wss://spatia-arcana.com wss://strfry.ymir.cloud
f8f8affc81dec495,,random hex-16,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com
h1,hallway,human-readable slug,2,wss://basspistol.org wss://strfry.ymir.cloud
iapeeboploo,DubHeads,random letters,2,wss://basspistol.org wss://strfry.ymir.cloud
zoxqa84y6lv7,Art Talk 🎨,random alnum,2,wss://chat.wisp.talk wss://strfry.ymir.cloud
206486afd34f7fd8,206486afd34f7fd8,random hex-16,2,key:52623aec wss://groups.satsdisco.com
2ed3e14eed731b08b5822cb49863aa53,Zap Cooking Friends,random hex-32,2,key:2798982f key:34263017
344460545dc4a092,344460545dc4a092,random hex-16,2,key:285314c8 wss://groups.0xchat.com
3fe3d428d48c8054,3fe3d428d48c8054,random hex-16,2,key:cebdd42b wss://groups.satsdisco.com
5198909637393356,bobsroom,random hex-16,2,key:5fc31523 wss://groups.0xchat.com
5c1006d79058cb58c6154f679ebb3132,muslim.chat,random hex-32,2,key:975bc2e7 wss://groups.0xchat.com
5e20ad1b10932efbd4355b1b5885a9bd,Garlicstr 🧄,random hex-32,2,key:2798982f key:34263017
c27e014bcd51c6a87732ac7439fdfbdc,🍳 The Frugal Kitchen,random hex-32,2,key:2798982f key:34263017
dd470c415873ea85,dd470c415873ea85,random hex-16,2,key:384bf414 wss://groups.0xchat.com
mgdlofde,,human-readable slug,2,key:eeb822ac wss://mihhdu.org/nostr
mynd-labs,mynd-labs,human-readable slug,2,key:79023e27 wss://relay.mynd.my.id
orbee,Orbee,human-readable slug,2,key:a99a869e wss://groups.0xchat.com
support,support,human-readable slug,2,key:79023e27 wss://relay.mynd.my.id
0df3540cb80c689a,🏛️ Forum ,random hex-16,2,key:385c3a6e key:f9b3bad7
174399f1-c4f4-422f-8a94-1093da44c958,it-174399f1,uuid,2,key:176e5f78 key:e119daab
3007f5f7f76485b4fb9e83a4fe60a5ed,nmtmnd,random hex-32,2,key:2cea8e74 key:774b5467
402bab5511d86a21,🎙️ Voice P2P,random hex-16,2,key:385c3a6e key:f9b3bad7
4af9446d4962c061d79e523b11eb9c24,dststd,random hex-32,2,key:35c81734 key:774b5467
749265311de6f38e0c84ecb38a9b9c48,dlqstn,random hex-32,2,key:082478aa key:51bdabe5
911f9134a48ae0c2,🟣 NOSTR,random hex-16,2,key:385c3a6e key:52623aec
9aa77b0bc6e97b15a5528fda89aad88b,stndsdtn,random hex-32,2,key:2cea8e74 key:b005b7ae
:general,general,human-readable slug,2,key:052ef530 key:9f7da645
GROUP_4d0cd951,Kurtlar Vadisi,human-readable slug,2,key:0e25c22a key:dfeeef3e
a91d2fea-20bb-4de3-9f9c-c94a7143a4cf,it-a91d2fea,uuid,2,key:244a2253 key:bd1ddf16
a98a66606c1915f1935db15a55114560,xcv,random hex-32,2,key:082478aa key:5fb8875b
adef469c11ed45bb,𓉶  Obelisk,random hex-16,2,key:385c3a6e key:f9b3bad7
b018e5e086e456ee55bd6c36522fbd71,dtsTDSDST,random hex-32,2,key:c1d1abda key:d5d80937
bb205175274848716c2f959d765084a6,mnggmngmgm nm nqngm mgnq,random hex-32,2,key:62e0bb76 key:c1d1abda
c1876ebb8e3a159b,c1876ebb8e3a159b,random hex-16,2,key:081d5c44 key:ea2fa747
camp_tXBtTEUPlg,,human-readable slug,2,key:a55e335c key:e5e56929
cascade-car-player,,human-readable slug,2,key:54c507c5 key:ac1374cd
cbf11c3dc6370581ccdf678bba40b6ae,dstntnsd,random hex-32,2,key:0b20e8e3 key:51bdabe5
clan-derp,,human-readable slug,2,key:236636dd key:75cdf8cb
clan-doesitworkyetcom,,human-readable slug,2,key:88aeb563 key:c5ee5eda
clan-nerds,,human-readable slug,2,key:73d98542 key:d88e847e
clan-test8,,human-readable slug,2,key:45c45d68 key:5e17bb57
clan-testerspace,,human-readable slug,2,key:4243fa74 key:7b535d71
clan-testspace5,,human-readable slug,2,key:97c14136 key:c8b0d62d
dns:buzzster.xyz,,human-readable slug,2,key:3eb8fe5e key:b8a9e7be
eb8d9bb9055c1057,Stress Test,random hex-16,2,key:385c3a6e key:52623aec
f9a8c3bb-d44b-4741-85d1-ce218bedee6c,it-f9a8c3bb,uuid,2,key:0fe6a881 key:907b304d
friend:1d5d6596be14d3464b5e8deb1947739b350ac84b5525e2f5caa354a8e0c3815d:feeb965a576e778045f33045ee92d9522773235c4be22736078b10e0b89d5980,,human-readable slug,2,key:1d5d6596 key:feeb965a
friend:26497f80c698dddf7a2790acdfa7a8982fd559c5f2ce52b4a6e19fc30435637d:e1f1d2184f4e7e9387e0b6374de25b031a3a6a6b4caf4542ac1294c0e53cf3c0,,human-readable slug,2,key:26497f80 key:e1f1d218
friend:502069150214833890f70fd3dc3adab4e5cffdd1186efe2af84f0fa24873d4de:10ce08b45e1185612879d7d83f68faef3499d7d531c17c29a85aaf2aed8b9672,,human-readable slug,2,key:10ce08b4 key:50206915
friend:578082c22e35383d4291d22ac3978266056cbed9e991a32d6463c64ce418e1d2:870a11b1df668122fe938eaf0c6d34a240e9321ea3d7fa17915824501b3ff6a2,,human-readable slug,2,key:578082c2 key:870a11b1
friend:5af8945d9db2af8dd06feb8f0c0f131be4b920847d02032995b5615b2cd134c6:8c2ab1f3dddad172e14fb60c26971ba8031eca55ce9ac1f039b51a377f8c7a6b,,human-readable slug,2,key:5af8945d key:8c2ab1f3
friend:6b7b4bec00dba9c66c1315ed681d1a0c3d2a5d5515005271dba30f17d01c4ebb:c005cef4c72884b6a2bdc057848118b0b45192f697183b7cd1d678d0569ecc60,,human-readable slug,2,key:6b7b4bec key:c005cef4
friend:6fca75bf31841757980a9e0a5e7f39698f824e5978288c20a3f65235224b66c6:8b56989ebbf40daa0693eefbb61d1fc06fecde0af0206982f0cd3141424e33f1,,human-readable slug,2,key:6fca75bf key:8b56989e
friend:98b2793a435c25ad2b900b2ae9f2de1d9b54cc8eb7be92a00334b1301181fe15:fc5bcdfc8a6a381abfab88ffc63af786a3350c23cd6c8f23c53b2a2a1072db17,,human-readable slug,2,key:98b2793a key:fc5bcdfc
friend:b92911e5efb30ad8243f817c7e9a43cbf1ed5a7d38976cbf945d0eac2961a4ac:098069abf1ff3da3b0b0028b65465f990df692319796894387db21cc9edbcdfe,,human-readable slug,2,key:098069ab key:b92911e5
friend:d44287f31dc3e444f5295d4718c84de4304ed36a505bf6a252e41f4f6854445b:bb3d712cdb7f2a68cca1b16ce28cb7d96514c0bc38c9a8d40ad86d82b924ffeb,,human-readable slug,2,key:bb3d712c key:d44287f3
friend:d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7:334006c5d8fb2c35bf809364c91955f33b11408de95df47f9f22c1f3fe610189,,human-readable slug,2,key:334006c5 key:d8e25a7c
friend:d8e25a7c23841d9e203e12063f76c0ef44772b4b297eddf232ff330ddeb09bb7:f9a395e654962bf34c6a34b6358793f88abd40ebdcc156a7f56ef68126e3ae05,,human-readable slug,2,key:d8e25a7c key:f9a395e6
npub10ehaknf468l4zslnv0qecwtw20yf5jxats7408jdhar5rzj0tvts24d3q5:testSkibidiDingle,test skibidi dingle,npub-namespaced,2,key:0122c2ef key:7e6fdb4d
npub139slrjkltav9fazj7va6kkx20htz3cxhw088acaununnuxcee9vqyyg8m2:yuckyButtzVagene,yucky buttz vagene,npub-namespaced,2,key:8961f1ca key:e95c17a9
npub14d6pywa0ed9h7ckvcmkrdw6nl4v2zkk37r4u5x7w03z8wt84unpq65t0tj:s19-19c8345e5aa-2761-group,S19-19c8345e5aa-2761-group,npub-namespaced,2,key:91e445e9 key:ab74123b
