h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
WA0LqEdJzCWnlODK,test group,random alnum,1,wss://groups.0xchat.com
XFKFtd1fCqgqBLCY,qqqq,random alnum,1,wss://groups.0xchat.com
XNKT0uIblmusrn1O,wrqw,random alnum,1,wss://groups.0xchat.com
XrQ9gjNaZMacS1hW,Poland Group Chat,random alnum,1,wss://groups.0xchat.com
YKoHRofPGqBGwdhP,Nostralia,human-readable slug,1,wss://groups.0xchat.com
a04be24aa3cb07554d456010ee420a0940f2b0db169648a8581d069b9efbf123,Me&MyKids,random hex-64,1,wss://groups.0xchat.com
a08ec82b6b689f57,,random hex-16,1,wss://groups.yugoatobe.com
a0a850e35ba3a506,,random hex-16,1,wss://groups.yugoatobe.com
a13bfe34d7445a2a40363018b2df2b0db574f55d7b6062dcaf95623da0629b8f,test 1256,random hex-64,1,wss://groups.0xchat.com
a148d4211e896bd2,,random hex-16,1,wss://groups.satsdisco.com
a1519894264c2d38c73f534d90c77813de7174648cddae5ef38f50f056d0dc8a,архив,random hex-64,1,wss://groups.0xchat.com
a16b5df8ea4d51dfabf84101be5ce98012a2775e226f685c60e85bd982bbeafa,哈希彩票｜百家乐｜电子｜足球｜168开奖,random hex-64,1,wss://groups.0xchat.com
a19956bfc31311836bfe6883d76efb09954ab5252693a4be43fda0c5b9dfc2df,bet,random hex-64,1,wss://groups.0xchat.com
a1aad3a97e1dbec6ca85de96a3fc96249595c545f6085baa75b14761f85e6669,Vandalism and Friendship,random hex-64,1,wss://basspistol.org
a1b23a5b81cbc0f2,,random hex-16,1,wss://groups.satsdisco.com
a227e7a88f0c95d65e55f5f281cd3109475b9e776269f3bef0a4337d31632d08,Farmácia na Floresta,random hex-64,1,wss://groups.0xchat.com
a26fe7bf40819275d1c8ec99da2f813c544477090b6010be3e7d76a7ff5189cf,TestOpenGroup,random hex-64,1,wss://groups.0xchat.com
a2b64f8bea657e23c5144675270a8164c686504cf43a5180eb269c01fda99fef,djjdjd,random hex-64,1,wss://groups.0xchat.com
a3209eb9c0a23dd2,,random hex-16,1,wss://groups.yugoatobe.com
a360d33b1e3597f31dc977e62d42c2d65e0683ded413d86b18fa4c8e9d72f31a,ccj,random hex-64,1,wss://groups.0xchat.com
a3c231b25fc61a9a2851e68d39c0d1847b3160f3f7e83536ea0294d56f25aba6,ccj,random hex-64,1,wss://groups.0xchat.com
a4166d,#,random hex-6,1,wss://relay29.notoshi.win
a44a730a7dc2730725a516c82bd281786e422c8d0ed98619cc8e19189bcbc9d3,group 333,random hex-64,1,wss://groups.0xchat.com
a45b2f,applesauce,random hex-6,1,wss://groups.hzrd149.com
a4c8d02e051afbfb0c9dc59049e37eb5e9e89bd81dd09a85ced1888b537d43e7,hi,random hex-64,1,wss://groups.0xchat.com
a4cc1bb317eafd015553e11468efd4e6f80e0fd4581b95ecb149a4755d535ab0, 08011441open,random hex-64,1,wss://groups.0xchat.com
a4e3e5950ec53cecaa7d00a06ac88375d972cef0a9f08d9c8a2088b5b53fb1fa,Trust-X 援助社區 全球招募共建者,random hex-64,1,wss://groups.0xchat.com
a55804152e3abdef,,random hex-16,1,wss://groups.yugoatobe.com
a55f59a77ddeda0125fc16f627b713cff012b91eb5f24efd304a5c2aa7c8018a,Grzegorz Kowalczyk,random hex-64,1,wss://groups.0xchat.com
a57re9xt7idh,Self Hosting,random alnum,1,wss://groups.0xchat.com
a590b8dd24d826afa1dff03b0f46f0f34162ee9eec34840c518480e242ce934b,涵涵,random hex-64,1,wss://groups.0xchat.com
a736eb13e7b3532f,,random hex-16,1,wss://groups.0xchat.com
a78244019e479c45,,random hex-16,1,wss://groups.0xchat.com
a7c8b5148066bc59dad6b93d6b7c4479de0f3d3c9fdce8e510eff2cef714abc7,TestCloseGroup,random hex-64,1,wss://groups.0xchat.com
a7d68f5bc3f24769,,random hex-16,1,wss://groups.0xchat.com
a827fbb9e5132cdd6a164e137a7df069bb8f4589393ca27f54feddf456b74285,Casual Game Business,random hex-64,1,wss://groups.0xchat.com
a849b54b27cce5bfd8d2daa6ed05e440fd02477e49c4fae3a3f6f5a4f5d02f01,,random hex-64,1,wss://groups.0xchat.com
a86775,Groupe Test,random hex-6,1,wss://groups.fiatjaf.com
a8b0ce2fb3b3361610b5a5a817bb8577,privatetest2,random hex-32,1,wss://newlay.relay.tools
a8f4d9a0186293163aa1e6b4d79e72dcef729b51b21a7ebe7ee4faaf0c3673da,クリプトアナキズムBAR,random hex-64,1,wss://groups.0xchat.com
a92de298f2d898e3,,random hex-16,1,wss://groups.yugoatobe.com
a9bbae0824301b35b07b52cff3326c68520795de29a9af5da878da3e7574f887,Team Chat,random hex-64,1,wss://groups.0xchat.com
aBRbUKqe4DKVT0CB,Nostr Help,random alnum,1,wss://groups.0xchat.com
aHdHbO56Q9GStUXL,testcaptjack,random alnum,1,wss://groups.0xchat.com
aa0c68e48f2e10acaf3f8a2ee8615eeac2ecaf383f4fbea800238af9fe0fefb0,123,random hex-64,1,wss://groups.0xchat.com
aa721271caa2795e,agua-rasgada,random hex-16,1,wss://groups.0xchat.com
aaa530691ebc94d091ab52ba86f5fcd901d27cbb7e4c5f85ef0a5a831fa9f368,Bitcoin India,random hex-64,1,wss://groups.0xchat.com
aaaf3018bb78de5d2220cd0efd6435a59733643272c7f7a1613775d313c29768,2月19日テスト,random hex-64,1,wss://groups.0xchat.com
ab166d,#,random hex-6,1,wss://relay29.notoshi.win
ab39b54d25ff536c8ceb179943df342afdeb2eaaa127930cadea84f613716de7,Koether_Family_TRUST,random hex-64,1,wss://groups.0xchat.com
abc3e68d2d4eac96a03820750937f95929a7b23b7695eee65e0994ad970c082e,test,random hex-64,1,wss://groups.0xchat.com
ac3cff7d822de4088c7b96930e6c91cf33a2192754b6feb53d8f7a509484c24d,Midwest Natural Beekeeping,random hex-64,1,wss://groups.0xchat.com
ac66d4,Xaphoon,random hex-6,1,wss://groups.fiatjaf.com
ac8124b860db5e7186655e68faf2abd4a5cec6a38ef5bc678476e209a34668ed,Bitcoin Family Trust discussion ,random hex-64,1,wss://groups.0xchat.com
ac93b3e3a195ccc5ae0c1adc73cdfba0dbcd04dc3831bd242248dcf9b07410c4,raariy,random hex-64,1,wss://groups.0xchat.com
ad03c21719efa9e8c339a1b8b23cd9d608f10ac5473e9749828c52ae68057e03,teatgroup002,random hex-64,1,wss://groups.0xchat.com
ad07cf70a8986dbb47d87750601e2fd5404f14a74e180beda7716f14f7a75d22,TestCloseGroup,random hex-64,1,wss://groups.0xchat.com
ad156d,root,random hex-6,1,wss://relay29.notoshi.win
ad166d,#,random hex-6,1,wss://relay29.notoshi.win
ad2b28ec5a5f4aacd3eab62b690c96aa3bf831a108b345c91d68fb980a3ae2f3,deutscher,random hex-64,1,wss://groups.0xchat.com
ad5e2f1d8f9f9a543b3a0aa65bcf53d8ee807004ecf36cf51485acf718027f8a,Vietnam,random hex-64,1,wss://groups.0xchat.com
ad66e96ba5c37f554079e5aa06e631504ee875c1af76bb78b07698b1b2d81d11,,random hex-64,1,wss://groups.0xchat.com
ad7ddc7e37003af94c9ef8c1fa261e7393f98afbca6522bfd041ca92c455a5ad,Darrellcathy1 ,random hex-64,1,wss://groups.0xchat.com
ad8e4ce27147809dab3b1c32ead9a45bb642f06e61a941baa88a8ca300d6abda,哈哈哈,random hex-64,1,wss://groups.0xchat.com
adcab66e8c2ad4f311e2a7c3055263b44936f6d7f656d8118f73c7f4814326a7,open group,random hex-64,1,wss://groups.0xchat.com
ae064bcdd3373fe3,,random hex-16,1,wss://groups.yugoatobe.com
ae06fb976416f72a3147031b9735203fdff753bb7c7eec80558fadacb62583c0,Tets nip-29,random hex-64,1,wss://groups.0xchat.com
ae9a99cf1712304b15b7c23b063b110d94220a4caf6f93573ce8cb204cc5bbeb,NZ bitcoiners,random hex-64,1,wss://groups.0xchat.com
aebe19e29c530a0952bda7f56cd6a4f1e6d695ff2e907c6e3bd377498fa0b6cb,08151521open,random hex-64,1,wss://groups.0xchat.com
aec6a2a5a328605e9fb5ae4e55b72afc1e15bd486be5369dc8d2d8a8fcfb6048,haohao,random hex-64,1,wss://groups.0xchat.com
aef1f36764cbb465d12c6e5571fadc1097d727fbdc309d632e0038f91f42b4b3,,random hex-64,1,wss://groups.0xchat.com
af09ae2f1e73997680f9646e165805a847db50886ea240749363cda99a80728d,web3先锋,random hex-64,1,wss://groups.0xchat.com
af6106ab72f8037fece4e86deabaf6685cc0ae5d6b703029a03b7fa0ba511e7e,real,random hex-64,1,wss://groups.0xchat.com
af79fa15446152dc657ad47fa6ad1805bbb324235e2f65b2ffc7884f2d9b8cd6,GSC360 Member ,random hex-64,1,wss://groups.0xchat.com
af854820733129fea71eb116f3270e46aecb3da6457677a6779abde99e13b63f,test,random hex-64,1,wss://groups.0xchat.com
af8df0073af3924105aa063a6af8ebdf223bde83d9be609e573b1dade65b1cdb,Economía Anarquista ,random hex-64,1,wss://groups.0xchat.com
agent-chat-Test,Agent Chat Dr Shift,human-readable slug,1,wss://groups.0xchat.com
agents-tester-buzzlotus,Agents Tester BUZZ/Lotus,human-readable slug,1,wss://groups.0xchat.com
agroughdeepr5,ok,random alnum,1,wss://abc.spaces.flotilla.social
akz3vk5x4jrq,,random alnum,1,wss://chat.wisp.talk
alxcedpx7sr6qQKIuuND,Plebchain Radio,human-readable slug,1,wss://relay.fountain.fm
an7xrm7mfj69,#NOS - Destruidores do estado,random alnum,1,wss://groups.0xchat.com
apfelyse,,human-readable slug,1,wss://groups.0xchat.com
approve-me,承認フロー練習グループ,human-readable slug,1,wss://r.iqbqioza.com
arghbleepreydough,Squalk test community,human-readable slug,1,wss://squalk-pyramid.dtonon.com
arghpretopl,NostrSMS,random letters,1,wss://relay.scuba323.com
arghspoyskiakr,inner circle,random letters,1,wss://relay.checkstr.de
armada,general,human-readable slug,1,wss://armada.dreamith.to
att1aft4um,,random alnum,1,wss://groups.0xchat.com
att3iutlvu,,random alnum,1,wss://groups.0xchat.com
aw0n6tcl71qa,Wisp Chat,random alnum,1,wss://chat.wisp.talk
aydaliashey,Center for the Arts,random letters,1,wss://spatia-arcana.com
aypespeast,Nuxtstack,human-readable slug,1,wss://inner.sebastix.social
ayplosethr,Off topic playground,random letters,1,wss://squalk-pyramid.dtonon.com
azothreloy,Welcome to SpArc,random letters,1,wss://spatia-arcana.com
b033a76c4311de4281517e1d863a22a4bd00b307453f52a50554579ff1b8fb88,Ben Jen Kason,random hex-64,1,wss://groups.0xchat.com
b18c0f96a37207c7,,random hex-16,1,wss://groups.0xchat.com
b1c03286ee7589ace7466632f9ace2d147f2ef3efd00c22a0e19dfaafefccf39,Bitcoin Algarve,random hex-64,1,wss://groups.0xchat.com
b2aa033c0a2dd4d2,,random hex-16,1,wss://groups.0xchat.com
b32b6b3b770069f2a2b1fef00f19595465fd04161d27f90990491e615b71fdc9,"Tirania Judiciária, legislativa ou executiva",random hex-64,1,wss://groups.0xchat.com
b386fda8a3ded9795338827a42d9b50daecfc45276ae62592ac225a9d22420f2,,random hex-64,1,wss://groups.0xchat.com
b3ef679a79ba88260d6297baacad40dff37537a05f9bd737dcce9b9b3a131336,Nostr Nederland,random hex-64,1,wss://groups.0xchat.com
b42acfa33d0beb13008615fceda2c5149e2f88180696c6d17e2bfed89d51a56b,"hello, good ",random hex-64,1,wss://groups.0xchat.com
b42db0,,random hex-6,1,wss://groups.fiatjaf.com
b47a26d5-f911-5a08-9a63-504c3f59a165,b47a26d5-f911-5a08-9a63-504c3f59a165,uuid,1,wss://newlay.relay.tools
b49ed2598824a510d35d4132f5e6352bb72b5eae78c77291a5be72f0e346ac13,,random hex-64,1,wss://groups.0xchat.com
b5566dcef94451aa54c643dfadd650cedb96fff46493bc6dbf5f3c89b067685b,Apple,random hex-64,1,wss://groups.0xchat.com
b56ede55de1afe0171b07031ff017f382e18a93da5fa54baea25fc5ed49002a3,test1,random hex-64,1,wss://groups.0xchat.com
b59db3b2-7f4d-4763-bb30-e839dbde110b,e2e-updated-621298,uuid,1,wss://newlay.relay.tools
b5ceed88252606420dfc0e3f8816e0fab1c9c672ed2bc68bdd5dd7a0d461ee6b,cu,random hex-64,1,wss://groups.0xchat.com
b5d3ad48f1bc448a52422ed14c63db3f745d36753518e169d97da066264b6897,Городские призраки,random hex-64,1,wss://groups.0xchat.com
b5df88,⁨TollGate Deployment⁩,random hex-6,1,wss://groups.hzrd149.com
b60dc3d0e32c8b133849b5b9f3c932b0,syncer,random hex-32,1,wss://relay.scuba323.com
b612d2632126c5ad9e70c8eb1b6cb3800b80407e2bfe5fe36c97f6237f35512a,cbd,random hex-64,1,wss://groups.0xchat.com
b62cd18f886c8c716e3aa4538165aa96ff32f6fe68302a4894723ceb7481da10,server,random hex-64,1,wss://groups.0xchat.com
b6d3740ea7f57bf3,,random hex-16,1,wss://groups.0xchat.com
b6ee52ad9554ef4da547bfbdc88e47b54e2b263619677c996ca4e9f4dbb45db2,Trailer Park Boys,random hex-64,1,wss://groups.0xchat.com
b70143c3a8b738c72282ddfc67c0b9f94d13254c84b78f27021771c8f3ab09ec,Silêncio e trampo 🤫🎰,random hex-64,1,wss://groups.0xchat.com
b709e9253fa325ce715be911aad04bcdc6e1d0549a1f9512146cf3235d6fac06,test421,random hex-64,1,wss://groups.0xchat.com
b72d9fa2efb32a2999a5d947694e6ce5c1e44acd8cb1bb142859fc7a07c6c926,,random hex-64,1,wss://groups.0xchat.com
b77a54de5e764da1da5f7d239c131bbc6e894e25e333e245e50fbe7fbbb7a85a,som_btc,random hex-64,1,wss://groups.0xchat.com
b79f4d6b0d9b787ceb3de2b66dc5304119f4659fd815e83ac1562bfec7d582a9,lnwallet.app status ,random hex-64,1,wss://groups.0xchat.com
b7a7b64d2d68c951,,random hex-16,1,wss://groups.0xchat.com
b7b1dfd74d165feabd41d55c34ece9b3bb9d100235e79bd2e3863937e3031ac9,WoT Bitcoin Meetup,random hex-64,1,wss://groups.0xchat.com
b823706c27cf808da414ff5a2e2a81402eb440993b7af32f99bb4118a1be46b9,,random hex-64,1,wss://groups.0xchat.com
b837f583-6c51-4e72-b117-5b850bc8401b,raw-621643,uuid,1,wss://newlay.relay.tools
b8999b6a6a8ce4c58b6e3ea04cd8e406a0e0eee45e125aa3fe6e64a99ac96fb5,yugotest,random hex-64,1,wss://groups.0xchat.com
b8lsxxp5,,random alnum,1,wss://groups.0xchat.com
b91948c9e2fdbef8f9866d5bb8185095a44a9c9c6a47085d90c0105e2d2b7bd4,Lizaland,random hex-64,1,wss://groups.0xchat.com
b9448a6d847276e5433fb5a0d90fe137,example group,random hex-32,1,wss://groups.0xchat.com
b99d76e30de0bb28220a0da91d7bf149a80e69d946a4bdbdb2bc52802afe467c,闲聊人工智能,random hex-64,1,wss://groups.0xchat.com
b9fdcef92d38b76c3ab440850aff88c47eb84c50a883d0d0875b2b64beca1b59,ndeah,random hex-64,1,wss://groups.0xchat.com
ba038d2002791d591539a8bb34080ed0625fe92b40ddfccb877393cf5df99024,ttm,random hex-64,1,wss://groups.0xchat.com
ba92019f59961757702a90a0b0f55106260fe699894f174e328f22994c0e3911,PARANOICOS,random hex-64,1,wss://groups.0xchat.com
badgebox,BadgeBox - the most ambitious badge creation tool,human-readable slug,1,wss://groups.0xchat.com
balshilskan,asdfasd,random letters,1,wss://groups.0xchat.com
bamothoythr," voices, test room",random letters,1,wss://spatia-arcana.com
baunilha-funsub,「Baunilha Funsub」,human-readable slug,1,wss://groups.0xchat.com
bb1997caa620a4288ab186c156ae1c9871734c53bd59f7998e106d04987ccc9a,羊毛党通知群,random hex-64,1,wss://groups.0xchat.com
bb60f0d09474b95e,,random hex-16,1,wss://groups.satsdisco.com
bb63f7b55b9595b78221b5f8e6f6ae72d8d64fa16d544b0ab150fb3da732b670,test Group,random hex-64,1,wss://groups.0xchat.com
bb70b7dff8b1e375417648f6f4728a102ac1255edf813083660cd2ff958123fa,Test Plebs,random hex-64,1,wss://groups.0xchat.com
bb94c993dfda57d0e7d5a574ae1da135b01f1e42b74ac862c63a3262d32b0ca0,"test2, nip-29 open group",random hex-64,1,wss://groups.0xchat.com
bbf4a7739ce0d3700d91a4df976efdd3c2337530ff22f4a8f735f2d2419b3910,open,random hex-64,1,wss://groups.0xchat.com
bc026ec92251d99a,,random hex-16,1,wss://groups.yugoatobe.com
bc8d571eef26d2925caae9fda6a0afc08758d67e6ac504db0185b80cd1b0928e,test private group,random hex-64,1,wss://groups.0xchat.com
bc910807ac148a309f87242e7939233946880e0df35d55c87f368d0a935656c6,Staff,random hex-64,1,wss://groups.0xchat.com
bda62dd4af5a413fba21adb6e7f4be5e1af1592988947300a24aeb6a71072083,vrbfnf,random hex-64,1,wss://groups.0xchat.com
bdc1b282e3976d9849139620b4f3751156086875ab1aa736179b6824619a3015,Privacidad - Español,random hex-64,1,wss://groups.0xchat.com
be3c52ad48f178c5393faaf13f12cebaf514c2f0ddcf7e02a8919ed1995e565e,先锋护卫队,random hex-64,1,wss://groups.0xchat.com
be6b18d5c278aecf,,random hex-16,1,wss://groups.0xchat.com
be8b576142e61117b2d98961b4262d00a7082fc1ed4cc8d1a58536b032d5840f,大陆人@台湾人@香港人@澳门人@美国华人,random hex-64,1,wss://groups.0xchat.com
be8df995eacb090ecbca9672880f5caab34fde15f2ffa8ac712d60bcd459d292,╰┈➤🏠▸ᎩᎧᏬᏒ ᏂᎧᎷᏋ🪷᭄᜴ฺ̥*,random hex-64,1,wss://groups.0xchat.com
befd3ea6ace6de6341308a4b02008034d36d816289b071d1c9759aa706b23ec5,tttttt,random hex-64,1,wss://groups.0xchat.com
bf74d0a0a878146502048636535a847b76101afbaa2af842b8e34c7e7feb70aa,Test-Einundzwanzig Cham,random hex-64,1,wss://groups.0xchat.com
bf9dd701c719194d4046a30085a0e2b7f28bf9c10e942031101a668dc85cfebc,Babylons.eu,random hex-64,1,wss://groups.0xchat.com
bf9f1ac17083c6c1a0b2b2c9d4eea848fe0ccff4e9c71eda829cb3ebe89274fc,Anonymity Privacy Security ,random hex-64,1,wss://groups.0xchat.com
bfdc9952821ff1b4ce551d93793d390223b701dd6006f1d94d56de7b65d8e325,Christian ,random hex-64,1,wss://groups.0xchat.com
bliclodbar,test,random letters,1,wss://groups.0xchat.com
bliolglossu,Testing,random letters,1,wss://chat.wisp.talk
blockcore,Blockcore,random letters,1,wss://groups.0xchat.com
braeddunplar,FRAL,random letters,1,wss://groups.0xchat.com
brasjetstoun,test,random letters,1,wss://r.iqbqioza.com
bs4e7jwnh23k,Monero Chat,random alnum,1,wss://groups.0xchat.com
byg9IOvmTVcEDMsB,loopyFruitf_meemory_cat,random alnum,1,wss://groups.0xchat.com
c02d0eed97282a4f7b90203e9675f6027e8ff5871ae89b5137e7d4c154680f03,mog0x,random hex-64,1,wss://groups.0xchat.com
c082537e5bacd0d669a2c64d4b7bfec757c26c342cba1a86f257f31185c0caa9,Praia Grande-ES_Grindr,random hex-64,1,wss://groups.0xchat.com
c137_garage,C-137 Garage,human-readable slug,1,wss://relay.scuba323.com
c137garage,C-137 Garage,random alnum,1,wss://relay.scuba323.com
c137garage_v2,C-137 Garage Fresh,human-readable slug,1,wss://relay.scuba323.com
c15824ad136c3bad96600eaca4a6763cef52b544d74825a3a1bc9caefdec1cce,Ronaldo de Oliveira dos Santos ,random hex-64,1,wss://groups.0xchat.com
c17a1c47,aurora2,random hex-8,1,wss://groups.0xchat.com
c17fa79ca8c2502c4b70a93f5eaf59e705ca3b7beb392cb2f72766af9a8750ba,jjjjjjj. bbb,random hex-64,1,wss://groups.0xchat.com
c238c93cf027d16681109321e6f00cef463f91d1cc657aba8b9d6ad29d2a3074,Fighting,random hex-64,1,wss://groups.0xchat.com
c262c3a20ce1e41ea5dd3659fb499c497659f13ed727e336d403c5213a19881a,Alcantarinos Cordimarianos,random hex-64,1,wss://groups.0xchat.com
c28d1a35655bbaa940d6652d6fd69469,SimpleX_FR 🇨🇵,random hex-32,1,wss://groups.0xchat.com
c2aa3872a25a523c7579dc8306423f9fe114fac7ea6c81317e1c145f29561a69,feet,random hex-64,1,wss://groups.0xchat.com
c2dec72797980ddb11532add5eb9d79b8ee27f273681433226084e070dc25d30,ok,random hex-64,1,wss://groups.0xchat.com
c2f42b2d28e97797,,random hex-16,1,wss://groups.yugoatobe.com
c3371cd746e9726fb7804ff7dc6be81959a7c99ff4a4346d7ec1bb751f799cf4,Pokémon ,random hex-64,1,wss://groups.0xchat.com
c33cc4eeec94c7df0d6d0b420ce0bb01b79c4ee4aaf94cfb774cafaed33b4e7c,testgroup01,random hex-64,1,wss://groups.0xchat.com
c36b21e7b2f2c6f3,,random hex-16,1,wss://groups.yugoatobe.com
c37beb9eeea5c6454825b9329ab7f5835030cf3e5215e15ae2a0fd45b42d9c4c,940707,random hex-64,1,wss://groups.0xchat.com
c39cbb08b200e6ef876af8b7f053510fa38b251b4789dac5525ea344e9df1908,moriRoom,random hex-64,1,wss://groups.0xchat.com
c3a5be66e541a5446486d55b7925f4d8e94121e342a49cca2932d5784d5cbbc9,Assiszurp,random hex-64,1,wss://groups.0xchat.com
c478bc4643ea3a42215b2ee63f103278ce46c75c4e95bef575ed0db3427a22ae,testgroup closed,random hex-64,1,wss://groups.0xchat.com
c48246ddb6a2aa311c1a219d4cbb398afd0442958876be820598575fc48dc1b5,Workshop1,random hex-64,1,wss://groups.0xchat.com
c58b26d368c74468fcd1a902f455dc14ed73e64367bfd256d0c720109337c8eb,Star Citizen ,random hex-64,1,wss://groups.0xchat.com
c595ab94d2fc8fb5,,random hex-16,1,wss://groups.satsdisco.com
c5a4eb1ca4816f19,,random hex-16,1,wss://groups.yugoatobe.com
c5af193c5e8375e8621b0d46ffef8103,Testing,random hex-32,1,wss://groups.0xchat.com
c5e8d9cd6799845bfa8a5385c9bb67edbe4b7613d5788c455a9f9edfc58f3d69,,random hex-64,1,wss://groups.0xchat.com
c678a07bdd9f43bb,,random hex-16,1,wss://groups.yugoatobe.com
c6c7da00a0a7085778a29476305b977d,gp,random hex-32,1,wss://groups.0xchat.com
c6f0f845fb2a3792,Sunnyhill Basement,random hex-16,1,wss://relay.zapclub.io
c70990565f769ad0,,random hex-16,1,wss://groups.0xchat.com
c70a3bc176559442202482c1ffa137094ce4c9bc942a4e442408746896a269a1,group chat,random hex-64,1,wss://groups.0xchat.com
c71fa936c67cb94b1d928046a21aa9c8b0b0570128e10fd44a28eb5f0502e3d2,bbjdnd,random hex-64,1,wss://groups.0xchat.com
c725758ff52e8ea1c0137ea5d0b382db0cad96b6556c4265d5b17612ae506c5b,Capital B,random hex-64,1,wss://groups.0xchat.com
c72cba800c83f78cd0ddc4d1ebbadeb8cf31d6084e18f069ba37dffae4af07c1,ccj,random hex-64,1,wss://groups.0xchat.com
c7c1ccc7119c896e,,random hex-16,1,wss://groups.satsdisco.com
c7ca6a16dd1ed946,Telegram Bot Club,random hex-16,1,wss://relay.zapclub.io
c7dac8f9ab0fcbdd,,random hex-16,1,wss://groups.0xchat.com
c83e2a46d97a023e4bebe4e1f3e97008bffc35c34eb0396edeb999b80068855c,n0xstr High Council 2,random hex-64,1,wss://groups.0xchat.com
c85e76af93fa4ef0,,random hex-16,1,wss://groups.satsdisco.com
c8982631c4a69c1b08eff7d5031bcd1b772f19adf2e3c45d2dd64223daf89320,Boy Collections,random hex-64,1,wss://groups.0xchat.com
c8aa3e9d56521db09171f8616419f1464ec4d43c08ab2dbb20762f8dd6d6922c,Central Coast Bitcoin,random hex-64,1,wss://groups.0xchat.com
c8d8284ed0c3e7a4577c5b71e7590dd978c58182706d661d0b11808f98675c6b,FREEDOM,random hex-64,1,wss://groups.0xchat.com
c9034de49489a2b7,,random hex-16,1,wss://groups.0xchat.com
c99e287eb555862e0fa1ae781deda8ed446c71c1ae5ff33bf588bdc6749c0655,btcinfo,random hex-64,1,wss://groups.0xchat.com
cKlxEVUUZqxtXzCn,captjackdeck,human-readable slug,1,wss://groups.0xchat.com
cMXbM1ZxZ4vlP7Nu,For test off,random alnum,1,wss://groups.0xchat.com
cTQoDEcNpGLifePa,testchan2,human-readable slug,1,wss://groups.0xchat.com
cWHtOiYMK9UhwM1p,test_cha2,random alnum,1,wss://groups.0xchat.com
ca13ad3ce5ab4cb3,,random hex-16,1,wss://groups.yugoatobe.com
ca25121ccf7b82db5f3ec7fe6c3d5722ad77962ef21ee7fd3ae77d641ede8a2c,دوپامین,random hex-64,1,wss://groups.0xchat.com
ca4f2a8ac433df11aa40ef21891cc99727c5bb756a8c9be0f883e53695d81f0b,~~,random hex-64,1,wss://groups.0xchat.com
ca530522569a7ce5d94c12a84ac65741940563607c0dd0355c1c05bc4b00120d,test private group,random hex-64,1,wss://groups.0xchat.com
ca8d18fb19988c6fb5caff28ff23d9127f20db16ae325f240cb0db21ddca392c,hinden,random hex-64,1,wss://groups.0xchat.com
caccc66e15a87000,Eu estou na praça,random hex-16,1,wss://groups.0xchat.com
cb479c22797f9a9d40a10f81d7cdc3173ed7f0e3cc27135c439c2f7a5e0a5c95,dupa,random hex-64,1,wss://groups.0xchat.com
cb59ae7be00eec65,,random hex-16,1,wss://groups.0xchat.com
cc0b25b56b87ff74c05e4437f853d9ee0dfe96517986c4a8bdb09db23191f008,Bitcoinlighthouse,random hex-64,1,wss://groups.0xchat.com
cc1486303393adafb2270975fa0b10b997f617b364889b262e0c22b52ec58bc7,haha,random hex-64,1,wss://groups.0xchat.com
cc9d10ea457b176b65b4152945bf63ad,biiiiii,random hex-32,1,wss://groups.0xchat.com
ccde4ab5e1b0d29cf0236c33a05f3ed0427700687b34990c56a70c7a8d03d70d,,random hex-64,1,wss://groups.0xchat.com
cd1187c336227121ccbc1fb5a8e46effde00e615961fc40331efeb2463771af7,111,random hex-64,1,wss://groups.0xchat.com
cd2dcc0a4ad8a49f5344f6595863f1543d899c1560e88daf0ffcd4ae4a7c1ff2,🍽️,random hex-64,1,wss://groups.0xchat.com
cd918c06f89f6f673b3a440444d85e60830088bbf1e81fae8e58648181d14008,NSCA,random hex-64,1,wss://groups.0xchat.com
cda8a28cac18d8fe,Bostileiros,random hex-16,1,wss://groups.libernet.app
cdc8a1021f7012005c7b35b34fe0f275bbc6f7006109a08fe20c2322bc909ec9,qoqooqooqoqoqooqoqoqoqoqooqooqoqoqooq,random hex-64,1,wss://groups.0xchat.com
cdcc7ec9898541b013246832467baee24c890de8a7b08093509ad618c7cef9e3,Tropa de TUX,random hex-64,1,wss://groups.0xchat.com
cdea3afb2d08ae6da2aa05dbe7faf3a6c53a3ae615079964b4c90f0029311756,testopengroup,random hex-64,1,wss://groups.0xchat.com
ce41978b78825467b5f6648c317989ff0b23736b7c6d11dcfef09f10c538f970,The Lightning Club,random hex-64,1,wss://groups.0xchat.com
cea668ce30364f45,,random hex-16,1,wss://groups.0xchat.com
ceaa93eb227301678972ba19ab978338d5cc2d858c37b79fcd443da2aff6618f,Matemática,random hex-64,1,wss://groups.0xchat.com
cecdeebb0776ddf1e48ad162feaaadb8f0d9a8729948e9a816cffa809f1902b3,Exilio,random hex-64,1,wss://groups.0xchat.com
cefd8b057fe198aadd56e7f89e3af01addb8afecbe0478727ff6d48825c49950,07291543open,random hex-64,1,wss://groups.0xchat.com
cf0ef5,test,random hex-6,1,key:00bb97ab
cf56a8c9-bc1e-4a1a-a28e-1dc43029f5a4,e2e-updated-622531,uuid,1,wss://newlay.relay.tools
cf89e5066744d066a13d49d9d831436f97a4acbc0e1621ad9e21234e7aa35f4c,MLP | Visiting Kirin | В гостях у Кирина,random hex-64,1,wss://groups.0xchat.com
cfa513595dc865cd17a78c57ab30c1a56b5f045164f4f737a1f9f26170685f53,Gambling,random hex-64,1,wss://groups.0xchat.com
