h_tag,group_name,id_shape,evidence_tier,n_relay_instances,n_verified_39000_signers,n_verified_39000_39001_39002_signers,relays_or_relay_keys,relay_pubkeys,kind10009_claimed_urls
npub1qqhdpw8z0jghhafd9xr2z7cmu95zjht6dk4zarpquhqqknc83xssd8ltln:testFebeeenis,test febeeenis,npub-namespaced,B,5,1,5,key:002ed0b8 key:1a034301 key:3a34cf83 key:d31f9800 key:e18f845e,002ed0b8e27c917bf52d2986a17b1be168295d7a6daa2e8c20e5c00b4f0789a1 1a034301559d94a8d4ac409a1178bf3fd5171979fcbe4040b58be2fc6bb99469 3a34cf83d35dc9bdea706da384e5556271a6cd61cb69617db6a8b723f5bbc16c d31f98000231801e1aaaf0fd92f9bc2eaea0f112a572fc9a13ebe09eeb6544f2 e18f845ec7a347b05858c8d63b938ddd2503d5c2957a3137b1f337be651ce1ff,
npub1zwffdet2tgs69uf3vm0t3zcwwwvskw836hw3jynr820r3tkucdxsne58ww:poppacopta,Poppacopta,npub-namespaced,B,5,1,5,key:139296e5 key:1d9d4f4a key:50ef5862 key:785b7d3a key:e7353c04,139296e56a5a21a2f13166deb88b0e73990b38f1d5dd1912633a9e38aedcc34d 1d9d4f4a0fd39812aaf6b513b81eedb13d8d972f3c416812b2651516ce88b60b 50ef58620c43654cce6d861052738aec0c212ee2db5a18ed0c4c92ea337e3bfc 785b7d3a2450347e097ce61649aa0e0e653e9290b0b9b4dbc21a4937b370015f e7353c04d69655cce9367a061103e559bfe1479127ecb75d1b01fe00b61d3512,
npub14le4ev6udkrx3em2g7uy4dxf96kqyaf4eve0p534l9943q9mrxzsnc380q:testMoomee,test moomee,npub-namespaced,B,4,1,4,key:15493b18 key:1a034301 key:3a34cf83 key:aff35cb3,15493b186e634aa66fc5637ee5115c7eeeebe65609c5d8cd0c9b7f0d08b3dd0b 1a034301559d94a8d4ac409a1178bf3fd5171979fcbe4040b58be2fc6bb99469 3a34cf83d35dc9bdea706da384e5556271a6cd61cb69617db6a8b723f5bbc16c aff35cb35c6d8668e76a47b84ab4c92eac027535cb32f0d235f94b5880bb1985,
npub1jc2ekwyn66996p9t3eacdufj9rsw0xv8apmgks7l637uw033hjlqvmhy0c:jufferyUpstein,Juffery Upstein,npub-namespaced,B,4,1,4,key:6106ee36 key:96159b38 key:98e5ca0b key:c37d50ad,6106ee36530fb546d9edcdab39caa5c14fa159a0a85044799095ba9ca37e908b 96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe 98e5ca0b3c8bfa0ade07e11f3a086987f4590e43577f6b9d903440953165d497 c37d50ada5b405ea3ec97ae428abe0df3374df62e3dd61cd7efb35154b69bc09,
npub1e8xjwp8d5t8rdccd2v5yapphlwgsva6llvjacz5dry2nznsv0raq2xvcwt:testSqueakoBorps,test squeako borps,npub-namespaced,B,3,1,3,key:687d5598 key:9f0afbd1 key:c9cd2704,687d55982d33a46fc4816d8e7116b7d41a11f5329321c407d95b82caeb187ce1 9f0afbd180e1846dd064577bab79b0d301fade9e9a7b96944e90a557c2062007 c9cd2704eda2ce36e30d53284e8437fb9106775ffb25dc0a8d1915314e0c78fa,
npub1ejfn7ww67htvyza0tzqy2lg25fxyvvgq99y9xhvl4sg2ugknf94qvgjzw5:bonjour,bonjour,npub-namespaced,B,3,1,3,key:466cc5c5 key:cc3d80c8 key:cc933f39,466cc5c58d64560b1a6fca0e2ac61310d71f1cf12b82731d117924751429ef44 cc3d80c8afca8b2d7ed75bd10dfa27a980e4362c5736c638f12a8efc3a500e35 cc933f39daf5d6c20baf5880457d0aa24c4631002948535d9fac10ae22d3496a,
npub1hgrlrt6hjkl3tvcxw3j53fcwdrwkv2xsxmumzpe3syhav3n9mnpsd6vlvh:testJoofus,test joofus,npub-namespaced,B,3,1,3,key:28edf379 key:4ad891a5 key:ba07f1af,28edf3794ecaf533c14999bb785f23d56e41e78863dce0e909873d882b2122c1 4ad891a599d03396b230beea75f121436e8aa633522e1ef6ca350a8baefd7ef0 ba07f1af5795bf15b306746548a70e68dd6628d036f9b10731812fd64665dcc3,
npub1jc2ekwyn66996p9t3eacdufj9rsw0xv8apmgks7l637uw033hjlqvmhy0c:test-group-1,test-group-1,npub-namespaced,B,3,1,3,key:244e3f59 key:96159b38 key:b4529029,244e3f5947236edd4c18f0cf1a9b9796ee706c3008c85ba13885221d22089b58 96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe b45290297fa4562bee7f87fd5cb73b89764f62ef4f951e582215d8094386464b,
npub1n263qszmjnzn48r20na0nmwttfty82z4lqwa7sfy5ekav0cxkwpqgjt7k0:steamyManuel,steamy manuel,npub-namespaced,B,3,1,3,key:0a65f22a key:678d84c8 key:9ab51040,0a65f22a951ff5f2ab4b6d21a969799b562a6c8938e66738e54777bfd196544c 678d84c814d291434cbe01c80bd2c1055bf04f638098030a164df7c909f91d8f 9ab510405b94c53a9c6a7cfaf9edcb5a5643a855f81ddf4124a66dd63f06b382,
npub1nxppmz6ypf9dc3tuc7n0hv3etqltwgne7z7pc3xl0y4x4cdhcp0q3nwmpy:gufenschlaffen,GUFENSCHLAFFEN,npub-namespaced,B,3,1,3,key:02d08b99 key:99821d8b key:d86563ea,02d08b9942a5b71d8c5ab7ab7f771aeeb1d4f9562808129718da5e885054993d 99821d8b440a4adc457cc7a6fbb239583eb72279f0bc1c44df792a6ae1b7c05e d86563ea254421272c30f19f214c3ada001d84ccf68209d2b73523feeb8c8561,
npub1rtzx9qz03te2jzks5rnvy8rv0pfjdafeeq76ze9slyyfh5wrudyszpvgjj:beejChercky,BEEJ CHERCKY,npub-namespaced,B,3,1,3,key:1ac46280 key:96159b38 key:a119baf8,1ac462804f8af2a90ad0a0e6c21c6c785326f539c83da164b0f9089bd1c3e349 96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe a119baf8e6a5af333f5340875c5b66971b90e28fc9796458bf8d77d485b80775,
npub1tlp32g7mpjmvephc2s4kf6nc32nmcnpuk9u8cnhshhnklzxxrhks60855t:testHaha,test haha,npub-namespaced,B,3,1,3,key:3a079e1c key:5fc31523 key:b5b971cd,3a079e1ca8f31d64ee722bcd7a9a92cf46f9e51cc396ad100824ac735a0d8349 5fc31523db0cb6cc86f8542b64ea788aa7bc4c3cb1787c4ef0bde76f88c61ded b5b971cd6753e9aa1ff529a35ab4df1a71547bd72c56996c55715ea7c25b0171,
npub1tycqy0egafh3feygztlp3mk64zavvzqx36mczct6h77j5ln64v0sy9py50:holyMolyWow,holy moly WOW,npub-namespaced,B,3,1,3,key:5930023f key:6106ee36 key:96159b38,5930023f28ea6f14e48812fe18eedaa8bac608068eb781617abfbd2a7e7aab1f 6106ee36530fb546d9edcdab39caa5c14fa159a0a85044799095ba9ca37e908b 96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe,
npub1vffp2rcg89talkc90gp0dggg4yg09kgeu5uezmptpk0qkn9k6etsdknfdu:checklist-group-1770509242703,checklist-group-1770509242703,npub-namespaced,B,3,1,3,key:3fb9decc key:6252150f key:8215eea7,3fb9decc0c26f1af94786844c6cde07357e8eed7121d038d93269508e7e3fa88 6252150f083957dfdb057a02f6a108a910f2d919e539916c2b0d9e0b4cb6d657 8215eea7f68ef85639f6b28b11841b2420c156a1725b9ae77d9e749f3c13373f,
npub1wp5h0rgd48j6c437j0yg8ysn4vsqxyvekvwlj3sxdsurltf8csxs7tudje:stankysoggyboys,stankysoggyboys,npub-namespaced,B,3,1,3,key:3aa38fc2 key:7069778d key:96159b38,3aa38fc2c82df01c2080287e99d287773f962531120c60f99e16027156787cf1 7069778d0da9e5ac563e93c8839213ab20031199b31df946066c383fad27c40d 96159b3893d68a5d04ab8e7b86f13228e0e79987e8768b43dfd47dc73e31bcbe,
npub1xcfdkegfp8g943l9948l30zm3ean2ystvy08ukxgnxxwvhy4uh7snn0gxn:testYummy,test yummy,npub-namespaced,B,3,1,3,key:3612db65 key:4949b17d key:dd24948d,3612db650909d05ac7e52d4ff8bc5b8e7b35120b611e7e58c8998ce65c95e5fd 4949b17dca25dbf4e5b9674300e99174f91a9af9945de69a035546a04178cb31 dd24948d2c90d248ff9031c71828b4e86c583667b6bcb7cc2bdb9f8cbd22ccfd,
174399f1-c4f4-422f-8a94-1093da44c958,it-174399f1,uuid,B,2,1,2,key:176e5f78 key:e119daab,176e5f7821e0069e8f4038775fea7cceaed8301829771088263bd0210d37432e e119daabb5c4f11887831008a7f005f5bc961879af0ff3f7ac6d7059406928d9,
3007f5f7f76485b4fb9e83a4fe60a5ed,nmtmnd,random hex-32,B,2,1,2,key:2cea8e74 key:774b5467,2cea8e744c7d8b4ec8de5753c5cebadfeae7a0abbaa2499980d3740182d6444d 774b546770b4e531c0f25c9a8c0a3492a536cdd4bab5beae194d693cc05361ac,
4af9446d4962c061d79e523b11eb9c24,dststd,random hex-32,B,2,1,2,key:35c81734 key:774b5467,35c8173432d3f74ce2a705c355c3fdef7d182b48769215aa660b4ea570e99dbd 774b546770b4e531c0f25c9a8c0a3492a536cdd4bab5beae194d693cc05361ac,
5198909637393356,bobsroom,random hex-16,B,2,1,2,key:5fc31523 wss://groups.0xchat.com,5fc31523db0cb6cc86f8542b64ea788aa7bc4c3cb1787c4ef0bde76f88c61ded ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
5c1006d79058cb58c6154f679ebb3132,muslim.chat,random hex-32,B,2,1,2,key:975bc2e7 wss://groups.0xchat.com,975bc2e74c8a0255b514c77926a67625579dfea29d60bdd7a390cd41bbed13ef ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
749265311de6f38e0c84ecb38a9b9c48,dlqstn,random hex-32,B,2,1,2,key:082478aa key:51bdabe5,082478aa79c444097f999b4a30e0c4cf3cd8d6db8b3d60cfbeccfc0f661c2467 51bdabe50ea39d1fe04ffbe1fd71cc78ebdc51a5a53f4cd908ba6b7a590733ab,
9aa77b0bc6e97b15a5528fda89aad88b,stndsdtn,random hex-32,B,2,1,2,key:2cea8e74 key:b005b7ae,2cea8e744c7d8b4ec8de5753c5cebadfeae7a0abbaa2499980d3740182d6444d b005b7ae9399de66795df94c96b795544e625a335d1c1ff0c4cf1e5691253739,
:general,general,human-readable slug,B,2,1,2,key:052ef530 key:9f7da645,052ef5301256370111f091fa073818d21df19b1601742c2adb5fd449aeafb2cf 9f7da6452139ee66f3f53bbcb7d2300c7bcf95f0a701fd699c647d4a0f2da639,
a91d2fea-20bb-4de3-9f9c-c94a7143a4cf,it-a91d2fea,uuid,B,2,1,2,key:244a2253 key:bd1ddf16,244a22537d758934ed98db4764a12e9360929860dbfcc12b89f3145bc858576a bd1ddf16f1065e26e7fdc9e565ae585de01e4b30d33e5ddadb9c2822c98e2644,
a98a66606c1915f1935db15a55114560,xcv,random hex-32,B,2,1,2,key:082478aa key:5fb8875b,082478aa79c444097f999b4a30e0c4cf3cd8d6db8b3d60cfbeccfc0f661c2467 5fb8875bc4c3973cd46c75d635086d57c4503100f8509cd2fe615ed086e6dfc4,
b018e5e086e456ee55bd6c36522fbd71,dtsTDSDST,random hex-32,B,2,1,2,key:c1d1abda key:d5d80937,c1d1abdae7a6c729370b5a7c3f141c567b1572db2c1fc8a4b2d9533445882017 d5d809378b84d311fe7b8485de3d01a1e69b84a576619f78783ddd2327f89441,
bb205175274848716c2f959d765084a6,mnggmngmgm nm nqngm mgnq,random hex-32,B,2,1,2,key:62e0bb76 key:c1d1abda,62e0bb7664aceaa1d308e2d89e9e3a95cfcb88c32951069c3f06632c52e9cbde c1d1abdae7a6c729370b5a7c3f141c567b1572db2c1fc8a4b2d9533445882017,
cbf11c3dc6370581ccdf678bba40b6ae,dstntnsd,random hex-32,B,2,1,2,key:0b20e8e3 key:51bdabe5,0b20e8e376ad8d39e74ff1d597b5ceafbed77cd299ac4b2772d624c3b98f984a 51bdabe50ea39d1fe04ffbe1fd71cc78ebdc51a5a53f4cd908ba6b7a590733ab,
clan-derp,,human-readable slug,B,2,1,2,key:236636dd key:75cdf8cb,236636dd0729268656f1cf6f8b5c0bc1065e5b9a5034c68b850f67bee7c26d06 75cdf8cb1a65e91ace9ff0e6b02cc8d58ed46236560ffdb88694fde8416d0cfd,
clan-doesitworkyetcom,,human-readable slug,B,2,1,2,key:88aeb563 key:c5ee5eda,88aeb563b404f5f229613c2d0b8a4df5dea9f6de6b281b1081f6639dc731b767 c5ee5eda6483c6b4a568b70bb04e27ea8f1c8205b770f31acfe5dd8d246dd785,
clan-nerds,,human-readable slug,B,2,1,2,key:73d98542 key:d88e847e,73d985427ffa98157200e1c2534ac03781a5175bf5e721cd4db0223c5e026b67 d88e847e327b5d753d4bde697ddfb5e0dff73c2e114bf630ada99a58f02264bb,
clan-test8,,human-readable slug,B,2,1,2,key:45c45d68 key:5e17bb57,45c45d68a80e63a26d281bb3c366321ea60a83692771dc065a8475107af295ce 5e17bb57abd2b34bb30950055c9467fefbc8afbd2ee6a8dcfede101697f00370,
